dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
goodbooks,bm25,128,i2i,hnsw,hr,0.1553,0.14839750000000002,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,map,0.09232178571428572,0.08736000694444444,0.09739516964285715,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,mrr,0.09232178571428572,0.08736000694444444,0.09739516964285715,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,ndcg,0.10736570916459431,0.10206604550300005,0.11278202881655036,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,precision,0.01553,0.01483975,0.01625,10000,2000,42,42
goodbooks,bm25,128,i2i,hnsw,recall,0.1553,0.14839750000000002,0.1625,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,ann_recall_vs_exact,0.99669,0.99624,0.9971,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,hr,0.1551,0.1481975,0.1622,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,map,0.09220988095238095,0.08725154662698413,0.09717760615079366,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,mrr,0.09220988095238095,0.08725154662698413,0.09717760615079366,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,ndcg,0.10723466321663845,0.1019709873121473,0.11255066576946335,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,precision,0.015510000000000003,0.014819749999999998,0.01622,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfflat,recall,0.1551,0.1481975,0.1622,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,ann_recall_vs_exact,0.9041600000000002,0.9024200000000002,0.9058000000000002,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,hr,0.1533,0.1464,0.1604,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,map,0.08877603174603176,0.08385606547619047,0.09366045932539682,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,mrr,0.08877603174603176,0.08385606547619047,0.09366045932539682,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,ndcg,0.10415445184082935,0.09892362036994545,0.10928926067910845,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,precision,0.015330000000000002,0.01464,0.016040000000000002,10000,2000,42,42
goodbooks,bm25,128,i2i,ivfpq,recall,0.1533,0.1464,0.1604,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,hr,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,map,0.00958281746031746,0.008222058531746032,0.011056610119047617,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,mrr,0.00958281746031746,0.008222058531746032,0.011056610119047617,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,ndcg,0.014164336824847162,0.012467308496927811,0.01600873490589615,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,precision,0.00295,0.0026300000000000004,0.0032900000000000004,10000,2000,42,42
goodbooks,bm25,128,u2i,flat,recall,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,ann_recall_vs_exact,0.60575,0.6026992499999999,0.60889025,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,hr,0.0255,0.0226,0.0287,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,map,0.00873269841269841,0.007437378968253968,0.010216131944444443,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,mrr,0.00873269841269841,0.007437378968253968,0.010216131944444443,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,ndcg,0.01259830058562827,0.011016535258109165,0.014293618321495572,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,precision,0.00255,0.0022600000000000003,0.00287,10000,2000,42,42
goodbooks,bm25,128,u2i,flatpq,recall,0.0255,0.0226,0.0287,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,ann_recall_vs_exact,0.9975799999999999,0.99682,0.99826,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,hr,0.0294,0.0263,0.0328,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,map,0.00953031746031746,0.008179109126984127,0.010983657738095235,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,mrr,0.00953031746031746,0.008179109126984127,0.010983657738095235,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,ndcg,0.014098603844443235,0.012423915301173117,0.015927064617989903,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,precision,0.0029400000000000003,0.00263,0.0032800000000000004,10000,2000,42,42
goodbooks,bm25,128,u2i,hnsw,recall,0.0294,0.0263,0.0328,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,ann_recall_vs_exact,0.9873599999999999,0.9864200000000001,0.98833025,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,hr,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,map,0.009588650793650793,0.008232154761904762,0.011063881944444446,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,mrr,0.009588650793650793,0.008232154761904762,0.011063881944444446,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,ndcg,0.014167529459035455,0.012493493161021293,0.01600101661621548,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,precision,0.0029500000000000004,0.00263,0.00329,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfflat,recall,0.0295,0.0263,0.0329,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,ann_recall_vs_exact,0.6784899999999999,0.6755599999999999,0.6813505,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,hr,0.0264,0.0234,0.0295,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,map,0.008675079365079365,0.007422270833333333,0.010067150793650791,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,mrr,0.008675079365079365,0.007422270833333333,0.010067150793650791,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,ndcg,0.012748490851081836,0.011199442798461046,0.014408150951293408,10000,2000,42,42
goodbooks,bm25,128,u2i,ivfpq,precision,0.0026400000000000004,0.00234,0.00295,10000,2000,42,42
