dataset,weighting,dim,method,seed,metric,decile,value
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_100,,0.61022
goodbooks,bm25,128,ivfpq,42,score_variance_flat,,0.06026458740234375
goodbooks,bm25,128,ivfpq,42,score_variance_pq,,inf
goodbooks,bm25,128,ivfpq,42,score_variance_ratio,,inf
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_flat,,0.1333
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_pq,,0.1425
goodbooks,bm25,128,ivfpq,42,long_tail_exposure_shift,,0.009199999999999986
goodbooks,bm25,128,ivfpq,42,delta_ndcg_vs_flat,,-0.0020340244512606007
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,0.0,0.1837938129901886
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1.0,0.17824840545654297
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2.0,0.1729370802640915
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3.0,0.17032378911972046
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4.0,0.16613131761550903
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5.0,0.156181201338768
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6.0,0.15517689287662506
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7.0,0.16092413663864136
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8.0,0.1536238193511963
goodbooks,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9.0,0.17227022349834442
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,0.0,0.7484536082474226
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1.0,0.7802197802197802
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2.0,0.8020000000000002
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3.0,0.7930693069306931
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4.0,0.8144230769230771
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5.0,0.8052083333333334
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6.0,0.8500000000000002
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7.0,0.8543478260869566
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8.0,0.8202127659574471
goodbooks,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9.0,0.7560747663551404
