dataset,weighting,dim,modality,method,budget_mb,queries,recall_at_k_mean,ndcg_at_k_mean,hr_at_k_mean,precision_at_k_mean,map_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,recall_at_100_mean,ann_recall_vs_exact_at_100_mean,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift,calibration_target,calibration_target_reached,calibration_achieved_recall_vs_exact,calibrated_param_name,calibrated_param_value,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,rss_mb_after,query_fingerprint,calibration_fingerprint,embedding_fingerprint,index_fingerprint,omp_threads,seed,run_id,config_hash,code_commit,created_at_utc
goodbooks,bm25,128,i2i,flat,100,10000,0.1553,0.10737880213995148,0.1553,0.01553,0.0923384523809524,0.0923384523809524,1.0,0.2867,1.0,0.9124,0.570770958,0.09636,0.06125220847944068,,,,,,0.14370000008057104,0.20182500056762354,0.3666030002386833,0.1525326999990284,64.6640625,f53d2c9f047ccc82,6d549acd03e5a41c,032cbafa513089bd,b66ec5e45cb28fc1,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,i2i,flatpq,100,10000,0.1534,0.10295403957010289,0.1534,0.015340000000000001,0.0871373015873016,0.0871373015873016,0.8706400000000002,0.2832,0.922524,0.9093,0.570735044,0.10287,0.06776220847944067,,,,,,0.07834999996703118,0.13322500012691305,0.22570099964468682,0.08641490001627972,60.32421875,f53d2c9f047ccc82,6d549acd03e5a41c,032cbafa513089bd,a79cbb33291ce5b7,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,i2i,hnsw,100,10000,0.1553,0.10736570916459431,0.1553,0.01553,0.09232178571428572,0.09232178571428572,0.9998799999999999,0.286,0.978734,0.9124,0.570772596,0.09633,0.061222208479440675,0.95,True,0.97892,ef,64.0,0.03199999991920777,0.049610000223765376,0.09440300030291837,0.03473125000073196,66.9140625,f53d2c9f047ccc82,0869d2ad6818ad4a,032cbafa513089bd,06be8bc1b26d6534,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,i2i,ivfflat,100,10000,0.1551,0.10723466321663845,0.1551,0.015510000000000003,0.09220988095238095,0.09220988095238095,0.99669,0.2839,0.973275,0.9116,0.570868106,0.09618,0.06107220847944068,0.95,True,0.97145,nprobe,16.0,0.030100000003585592,0.04380000063974876,0.0759099995048018,0.03194020000546516,64.75390625,f53d2c9f047ccc82,e33077765268172c,032cbafa513089bd,fceaa2ad7fc7abea,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,i2i,ivfpq,100,10000,0.1533,0.10415445184082935,0.1533,0.015330000000000002,0.08877603174603176,0.08877603174603176,0.9041600000000002,0.2838,0.9339299999999999,0.9134,0.568900608,0.10111,0.06600220847944069,0.95,False,0.93477,nprobe,128.0,0.18980000004376052,0.26365499988969526,0.609812000493548,0.20636589998912314,64.1171875,f53d2c9f047ccc82,e33077765268172c,032cbafa513089bd,8d47a661ae077e0b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,u2i,flat,100,10000,0.0295,0.014164336824847162,0.0295,0.00295,0.00958281746031746,0.00958281746031746,1.0,0.1816,1.0,0.6758,0.830726524,0.05765,0.022542208479440676,,,,,,0.14180000016494887,0.21550000019487925,0.3085220001412379,0.1516157000014573,64.75,20fda5956a2183be,d7356d0d8b3a2d2f,032cbafa513089bd,b66ec5e45cb28fc1,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,u2i,flatpq,100,10000,0.0255,0.01259830058562827,0.0255,0.00255,0.00873269841269841,0.00873269841269841,0.60575,0.164,0.7476299999999999,0.6009,0.8700238020000001,0.08154,0.04643220847944068,,,,,,0.07370000002993038,0.10530999966249509,0.2189009997073299,0.0792932499998642,60.34375,20fda5956a2183be,d7356d0d8b3a2d2f,032cbafa513089bd,a79cbb33291ce5b7,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,u2i,hnsw,100,10000,0.0294,0.014098603844443235,0.0294,0.0029400000000000003,0.00953031746031746,0.00953031746031746,0.9975799999999999,0.1767,0.9428040000000001,0.6752,0.8311247460000001,0.05748,0.02237220847944068,0.95,True,0.97346,ef,64.0,0.03639999977167463,0.0672350005515909,0.11963100027969628,0.0404515499876652,66.75390625,20fda5956a2183be,17a578c8cba92a5a,032cbafa513089bd,06be8bc1b26d6534,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,u2i,ivfflat,100,10000,0.0295,0.014167529459035455,0.0295,0.0029500000000000004,0.009588650793650793,0.009588650793650793,0.9873599999999999,0.177,0.964875,0.677,0.830396574,0.058,0.02289220847944068,0.95,True,0.96869,nprobe,32.0,0.05500000042957254,0.06979999948271143,0.09421399970051424,0.05686549999563795,64.92578125,20fda5956a2183be,471ea40a22b928c7,032cbafa513089bd,fceaa2ad7fc7abea,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
goodbooks,bm25,128,u2i,ivfpq,100,10000,0.0264,0.012748490851081836,0.0264,0.0026400000000000004,0.008675079365079365,0.008675079365079365,0.6784899999999999,0.1635,0.788949,0.6327,0.849267088,0.08874,0.053632208479440675,0.95,False,0.80504,nprobe,128.0,0.18809999983204762,0.3112199995030096,0.5700010001510236,0.20790404998479062,63.9921875,20fda5956a2183be,471ea40a22b928c7,032cbafa513089bd,8d47a661ae077e0b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,i2i,flat,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.4012263838249917,1.0,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,,,,,,0.057300000662507955,0.09498000044914072,0.17712299974846243,0.06364959999746134,56.6015625,5409f142583cb90b,94e18e4d73dd9215,b58722041cece5b4,51c23d9eee8bb1bc,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,i2i,flatpq,100,6034,0.10954590652966523,0.05715648578034368,0.10954590652966523,0.010954590652966521,0.04139209821592984,0.04139209821592984,0.8460722572091482,0.39177991382167715,0.8682913490222076,0.8058307387489386,0.678148084526395,0.020235333112363276,0.014733240841643472,,,,,,0.048800000513438135,0.06540500048686226,0.11800799992670362,0.05154489999358702,55.37109375,5409f142583cb90b,94e18e4d73dd9215,b58722041cece5b4,9efdb3dfb6ecc579,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,i2i,hnsw,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.40039774610540274,0.9895807093138881,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,0.95,True,0.99011,ef,64.0,0.035799999750452116,0.04860499993810662,0.0914030001968058,0.03793984998992528,57.27734375,5409f142583cb90b,c7ce36581a11b114,b58722041cece5b4,8d0bb78c10838cf8,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,i2i,ivfflat,100,6034,0.11153463705667882,0.057808261420944966,0.11153463705667882,0.011153463705667882,0.04168100341451352,0.04168100341451352,0.9920285051375538,0.38945972820682795,0.9481455087835597,0.7964902349278233,0.6784629903140624,0.016639045409347034,0.01113695313862723,0.95,True,0.95116,nprobe,16.0,0.021800000467919745,0.05511000026672263,0.07141700069951183,0.02556260000119437,56.68359375,5409f142583cb90b,8b400b367484b8bb,b58722041cece5b4,fbcfafd6d842d5cc,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
