dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
goodbooks,bm25,i2i,ivfpq,ndcg,0.10459186155320001,0.09930853927401859,0.10986107352766623,10000,1000
goodbooks,bm25,i2i,ivfpq,map,0.08811908730158732,0.08297691468253969,0.09291478373015873,10000,1000
goodbooks,bm25,i2i,ivfpq,mrr,0.08811908730158732,0.08297691468253969,0.09291478373015873,10000,1000
goodbooks,bm25,i2i,ivfpq,ann_recall_vs_exact,0.9018300000000001,0.9001000000000002,0.9033900000000001,10000,1000
goodbooks,bm25,u2i,flat,recall,0.0317,0.0281,0.0351,10000,1000
goodbooks,bm25,u2i,flat,precision,0.00317,0.00281,0.00351,10000,1000
goodbooks,bm25,u2i,flat,hr,0.0317,0.0281,0.0351,10000,1000
goodbooks,bm25,u2i,flat,ndcg,0.015314091953972127,0.013559490326313121,0.017217173761381755,10000,1000
goodbooks,bm25,u2i,flat,map,0.0104390873015873,0.009047527777777781,0.012044317460317458,10000,1000
goodbooks,bm25,u2i,flat,mrr,0.0104390873015873,0.009047527777777781,0.012044317460317458,10000,1000
goodbooks,bm25,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
goodbooks,bm25,u2i,flatpq,recall,0.0282,0.025097500000000002,0.0313,10000,1000
goodbooks,bm25,u2i,flatpq,precision,0.0028200000000000005,0.0025097500000000003,0.0031300000000000004,10000,1000
goodbooks,bm25,u2i,flatpq,hr,0.0282,0.025097500000000002,0.0313,10000,1000
goodbooks,bm25,u2i,flatpq,ndcg,0.013811148736118904,0.012140141882245594,0.015597097674974306,10000,1000
goodbooks,bm25,u2i,flatpq,map,0.009500992063492064,0.008192082341269842,0.011070768849206348,10000,1000
goodbooks,bm25,u2i,flatpq,mrr,0.009500992063492064,0.008192082341269842,0.011070768849206348,10000,1000
goodbooks,bm25,u2i,flatpq,ann_recall_vs_exact,0.60519,0.6021,0.6082519999999999,10000,1000
goodbooks,bm25,u2i,hnsw,recall,0.0316,0.0280975,0.035,10000,1000
goodbooks,bm25,u2i,hnsw,precision,0.00316,0.00280975,0.0035,10000,1000
goodbooks,bm25,u2i,hnsw,hr,0.0316,0.0280975,0.035,10000,1000
goodbooks,bm25,u2i,hnsw,ndcg,0.01525966510327058,0.013460648644383058,0.01713402783066353,10000,1000
goodbooks,bm25,u2i,hnsw,map,0.010401468253968253,0.00900495238095238,0.012004535714285714,10000,1000
goodbooks,bm25,u2i,hnsw,mrr,0.010401468253968253,0.00900495238095238,0.012004535714285714,10000,1000
goodbooks,bm25,u2i,hnsw,ann_recall_vs_exact,0.9971399999999999,0.9962797499999999,0.9979299999999999,10000,1000
goodbooks,bm25,u2i,ivfflat,recall,0.0306,0.0273,0.0341,10000,1000
goodbooks,bm25,u2i,ivfflat,precision,0.0030600000000000007,0.0027300000000000002,0.0034100000000000003,10000,1000
goodbooks,bm25,u2i,ivfflat,hr,0.0306,0.0273,0.0341,10000,1000
goodbooks,bm25,u2i,ivfflat,ndcg,0.01475145910084525,0.013137727494612674,0.016629484118144557,10000,1000
goodbooks,bm25,u2i,ivfflat,map,0.010050396825396825,0.008765414682539684,0.011640016865079364,10000,1000
goodbooks,bm25,u2i,ivfflat,mrr,0.010050396825396825,0.008765414682539684,0.011640016865079364,10000,1000
goodbooks,bm25,u2i,ivfflat,ann_recall_vs_exact,0.8492700000000001,0.8452975000000001,0.8533702500000001,10000,1000
goodbooks,bm25,u2i,ivfpq,recall,0.0283,0.025,0.0316025,10000,1000
goodbooks,bm25,u2i,ivfpq,precision,0.0028299999999999996,0.0025000000000000005,0.0031602500000000003,10000,1000
goodbooks,bm25,u2i,ivfpq,hr,0.0283,0.025,0.0316025,10000,1000
goodbooks,bm25,u2i,ivfpq,ndcg,0.01376623455475496,0.012125596649860505,0.015602133847432182,10000,1000
goodbooks,bm25,u2i,ivfpq,map,0.009436388888888888,0.008129641865079366,0.010965243055555554,10000,1000
goodbooks,bm25,u2i,ivfpq,mrr,0.009436388888888888,0.008129641865079366,0.010965243055555554,10000,1000
goodbooks,bm25,u2i,ivfpq,ann_recall_vs_exact,0.6768,0.6740192500000001,0.679891,10000,1000
ml-1m,bm25,i2i,flat,recall,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,flat,precision,0.011197614709292694,0.01041908232565844,0.012075948318701343,6037,1000
ml-1m,bm25,i2i,flat,hr,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,flat,ndcg,0.05818712583401837,0.05366112747957301,0.06317442706487093,6037,1000
ml-1m,bm25,i2i,flat,map,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,flat,mrr,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,6037,1000
ml-1m,bm25,i2i,flatpq,recall,0.10750372701673017,0.0997184031803876,0.11579012754679477,6037,1000
