dataset,weighting,modality,method,coverage_at_10,coverage_at_100,gini_exposure_at_10,gini_exposure_at_100,long_tail_exposure_at_10,long_tail_exposure_at_100,long_tail_uplift_at_10,user_popularity_calibration_error_at_10,fairness_scope
ml-1m,bm25,u2i,flatpq,0.3673931502971978,0.8075290121709595,0.9605561315391664,0.8747507449295956,0.000977792509115,0.002709645343056,-0.0045242997616047,0.6335341555879104,not_full_fairness_evaluation
ml-1m,bm25,u2i,hnsw,0.4073025757146901,0.80837814888197,0.9463918350781556,0.8628222288999003,0.0006629101756711,0.0019290686112031,-0.0048391820950486,0.6244884179227351,not_full_fairness_evaluation
ml-1m,bm25,u2i,ivfflat,0.4067364845740164,0.8015850551938862,0.9464480126345088,0.8645954047922232,0.0006629101756711,0.0018080875041431,-0.0048391820950486,0.624465870648121,not_full_fairness_evaluation
ml-1m,bm25,u2i,ivfpq,0.4152278516841211,0.8324370223606,0.9430938804084148,0.8598801742479942,0.00074577394763,0.0027262180974477,-0.0047563183230897,0.5690281010244596,not_full_fairness_evaluation
ml-20m,bm25,i2i,flat,0.3467488201363398,0.6638262541513721,0.8873155488550953,0.7971403242440134,0.00284,0.007991,0.0022445854880611,1.5063319620075364,not_full_fairness_evaluation
ml-20m,bm25,i2i,flatpq,0.3465303268659325,0.6827040727145604,0.8887005261317952,0.7964920089145254,0.00329,0.010414,0.0026945854880611,1.505084251450994,not_full_fairness_evaluation
ml-20m,bm25,i2i,hnsw,0.346574025520014,0.6590631008564937,0.8873846495367942,0.798657906659675,0.00302,0.007857,0.0024245854880611,1.5059166896010694,not_full_fairness_evaluation
ml-20m,bm25,i2i,ivfflat,0.3462244362873623,0.6606799510575074,0.8878879391714735,0.8011707577346618,0.00297,0.007866,0.0023745854880611,1.503778867141386,not_full_fairness_evaluation
ml-20m,bm25,i2i,ivfpq,0.3473169026393987,0.6853259919594477,0.8881920075161686,0.7972195338227583,0.00348,0.011118,0.0028845854880611,1.4863779498247105,not_full_fairness_evaluation
ml-20m,bm25,u2i,flat,0.2030239468624366,0.4508390141583639,0.966288745848628,0.9215095917671736,0.0,0.000108,-0.0005954145119388,0.6211699049761031,not_full_fairness_evaluation
ml-20m,bm25,u2i,flatpq,0.1676280370564586,0.444590106624716,0.9785631130921169,0.935966807725922,0.00015,0.000335,-0.0004454145119388,0.6277857241028667,not_full_fairness_evaluation
ml-20m,bm25,u2i,hnsw,0.203155042824681,0.4552088795665093,0.9662436960321622,0.9211939791120434,0.0,0.000119,-0.0005954145119388,0.6227446618631453,not_full_fairness_evaluation
ml-20m,bm25,u2i,ivfflat,0.2038105226359028,0.453635728019577,0.9663773929382976,0.9225335194022024,0.0,0.000114,-0.0005954145119388,0.6201849490265015,not_full_fairness_evaluation
ml-20m,bm25,u2i,ivfpq,0.1776350288411116,0.4629435413389267,0.9745487808075513,0.937231153731865,8e-05,0.000402,-0.0005154145119388,0.4873204022025962,not_full_fairness_evaluation
