dataset,weighting,modality,method,metric,mean_diff,ci_low,ci_high,p_value,n_boot,significant_at_0.05,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude
ml-1m,bm25,i2i,hnsw,recall,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0006709999999999,negligible
ml-1m,bm25,i2i,ivfflat,hr,-0.0006629101756711,-0.0014915478952601,0.0001657275439177,0.137,2000,False,-0.0210252762289179,negligible,-0.001323,negligible
ml-1m,bm25,i2i,ivfflat,ndcg,-0.000349434721831,-0.0007929593131253,2.0821841697085662e-05,0.074,2000,False,-0.0204131009387289,negligible,-0.0012805,negligible
ml-1m,bm25,i2i,ivfflat,recall,-0.0006629101756711,-0.0014915478952601,0.0001657275439177,0.137,2000,False,-0.0210252762289179,negligible,-0.001323,negligible
ml-1m,bm25,i2i,ivfpq,hr,-0.0018230029830957,-0.0048060987736161,0.0011600928074245,0.229,2000,False,-0.0151825413536033,negligible,-0.0024565,negligible
ml-1m,bm25,i2i,ivfpq,ndcg,-0.0009322591524199,-0.0022467126346751,0.000322403015318,0.137,2000,False,-0.0189645684372366,negligible,-0.0022729999999999,negligible
ml-1m,bm25,i2i,ivfpq,recall,-0.0018230029830957,-0.0048060987736161,0.0011600928074245,0.229,2000,False,-0.0151825413536033,negligible,-0.0024565,negligible
ml-1m,bm25,u2i,flatpq,hr,-0.0054690089492873,-0.0106065628107391,-0.0001657275439177,0.045,2000,True,-0.0268222143068666,negligible,-0.0057139999999999,negligible
ml-1m,bm25,u2i,flatpq,ndcg,-0.0050495001458162,-0.007514115983362,-0.0024033510970022,0.0,2000,True,-0.0489018011337466,negligible,-0.006343,negligible
ml-1m,bm25,u2i,flatpq,recall,-0.0054690089492873,-0.0106065628107391,-0.0001657275439177,0.045,2000,True,-0.0268222143068666,negligible,-0.0057139999999999,negligible
ml-1m,bm25,u2i,hnsw,hr,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0004175,negligible
ml-1m,bm25,u2i,hnsw,ndcg,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0003979999999999,negligible
ml-1m,bm25,u2i,hnsw,recall,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0004175,negligible
ml-1m,bm25,u2i,ivfflat,hr,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0004175,negligible
ml-1m,bm25,u2i,ivfflat,ndcg,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0003979999999999,negligible
ml-1m,bm25,u2i,ivfflat,recall,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0004175,negligible
ml-1m,bm25,u2i,ivfpq,hr,0.0001657275439177,-0.0044746436857805,0.0046403712296983,0.99,2000,False,0.0009314185040617,negligible,-9.499999999999786e-05,negligible
ml-1m,bm25,u2i,ivfpq,ndcg,-0.0009286871779001,-0.0030987522704363,0.0010966301878307,0.349,2000,False,-0.0114657503246514,negligible,-0.0003554999999999,negligible
ml-1m,bm25,u2i,ivfpq,recall,0.0001657275439177,-0.0044746436857805,0.0046403712296983,0.99,2000,False,0.0009314185040617,negligible,-9.499999999999786e-05,negligible
ml-20m,bm25,i2i,flatpq,hr,0.0005,-0.002,0.003,0.706,2000,False,0.0039403855918426,negligible,0.0006339999999999,negligible
ml-20m,bm25,i2i,flatpq,ndcg,-0.0003862084909596,-0.0014583859024481,0.0006981652728158,0.452,2000,False,-0.0070610229751697,negligible,0.0003515,negligible
ml-20m,bm25,i2i,flatpq,recall,0.0005,-0.002,0.003,0.706,2000,False,0.0039403855918426,negligible,0.0006339999999999,negligible
ml-20m,bm25,i2i,hnsw,hr,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,0.0002019999999999,negligible
ml-20m,bm25,i2i,hnsw,ndcg,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,7.749999999999424e-05,negligible
ml-20m,bm25,i2i,hnsw,recall,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,0.0002019999999999,negligible
ml-20m,bm25,i2i,ivfflat,hr,-0.0005,-0.0012,0.0001,0.154,2000,False,-0.0150765267707141,negligible,-0.000351,negligible
ml-20m,bm25,i2i,ivfflat,ndcg,-0.000342679822647,-0.000767255443216,-2.2779966431164757e-05,0.032,2000,True,-0.0185272783122617,negligible,-0.0004745,negligible
ml-20m,bm25,i2i,ivfflat,recall,-0.0005,-0.0012,0.0001,0.154,2000,False,-0.0150765267707141,negligible,-0.000351,negligible
ml-20m,bm25,i2i,ivfpq,hr,0.0011,-0.001,0.0032,0.349,2000,False,0.0102575796522579,negligible,0.0013024999999999,negligible
ml-20m,bm25,i2i,ivfpq,ndcg,0.0002754721716816,-0.0006409443291895,0.0011665355812073,0.576,2000,False,0.0059617497896307,negligible,0.0011025,negligible
ml-20m,bm25,i2i,ivfpq,recall,0.0011,-0.001,0.0032,0.349,2000,False,0.0102575796522579,negligible,0.0013024999999999,negligible
ml-20m,bm25,u2i,flatpq,hr,-0.0011,-0.0054,0.0033,0.602,2000,False,-0.005090004372797,negligible,-0.001292,negligible
ml-20m,bm25,u2i,flatpq,ndcg,0.000119221751483,-0.0019472817054071,0.0021301534922017,0.944,2000,False,0.0011357007517642,negligible,-0.0012579999999999,negligible
ml-20m,bm25,u2i,flatpq,recall,-0.0011,-0.0054,0.0033,0.602,2000,False,-0.005090004372797,negligible,-0.001292,negligible
ml-20m,bm25,u2i,hnsw,hr,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0002334999999999,negligible
ml-20m,bm25,u2i,hnsw,ndcg,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.000294,negligible
ml-20m,bm25,u2i,hnsw,recall,0.0,0.0,0.0,1.0,2000,False,0.0,negligible,-0.0002334999999999,negligible
ml-20m,bm25,u2i,ivfflat,hr,-0.0003,-0.0007,0.0001,0.228,2000,False,-0.0134169446071923,negligible,-0.000544,negligible
ml-20m,bm25,u2i,ivfflat,ndcg,-6.124115830857283e-05,-0.0002441003970855,0.0001093089968427,0.464,2000,False,-0.0067695208509199,negligible,-0.0005855,negligible
ml-20m,bm25,u2i,ivfflat,recall,-0.0003,-0.0007,0.0001,0.228,2000,False,-0.0134169446071923,negligible,-0.000544,negligible
ml-20m,bm25,u2i,ivfpq,hr,0.0005,-0.0037025,0.0044,0.833,2000,False,0.0024722248177469,negligible,0.0002315,negligible
ml-20m,bm25,u2i,ivfpq,ndcg,0.0009250411701346,-0.0009786058807141,0.002808905551207,0.362,2000,False,0.0095565966979104,negligible,0.0003004999999999,negligible
ml-20m,bm25,u2i,ivfpq,recall,0.0005,-0.0037025,0.0044,0.833,2000,False,0.0024722248177469,negligible,0.0002315,negligible
