dataset,weighting,dim,method,seed,metric,decile,value
ml-1m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9,0.6914285714285715
ml-1m,bm25,128,ivfpq,42,norm_distortion_mean,-1,0.026497481390833855
ml-1m,bm25,128,ivfpq,42,pairwise_distance_distortion,-1,0.02801087126135826
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,0,0.22844645380973816
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1,0.2315763533115387
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2,0.2189350575208664
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3,0.21202410757541656
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4,0.20586177706718445
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5,0.20002996921539307
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6,0.19819700717926025
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7,0.20460519194602966
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8,0.20326729118824005
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9,0.19972242414951324
ml-1m,bm25,128,ivfpq,42,reconstruction_error_rel_mean,-1,0.21004417538642883
ml-1m,bm25,128,ivfpq,42,score_variance_flat,-1,0.03562921693055468
ml-1m,bm25,128,ivfpq,42,score_variance_pq,-1,0.07113336555814319
ml-1m,bm25,128,ivfpq,42,score_variance_ratio,-1,1.9964897263049608
ml-20m,bm25,128,flatpq,42,delta_ndcg_vs_flat,-1,-0.00013349336973825232
ml-20m,bm25,128,flatpq,42,long_tail_exposure_flat,-1,0.2
ml-20m,bm25,128,flatpq,42,long_tail_exposure_pq,-1,0.2085
ml-20m,bm25,128,flatpq,42,long_tail_exposure_shift,-1,0.00849999999999998
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10,-1,0.8166
