dataset,weighting,modality,method,ndcg_at_k_mean,recall_at_k_mean,hr_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,latency_p50_ms,latency_p95_ms
goodbooks,bm25,u2i,ivfflat,0.0147514591008452,0.0306,0.0306,0.0100503968253968,0.8492700000000001,0.0208000001293839,0.0258000000030733
goodbooks,bm25,u2i,ivfpq,0.0137662345547549,0.0283,0.0283,0.0094363888888888,0.6768,0.1967000007425667,0.2635100000588863
ml-1m,bm25,i2i,flat,0.0581871258340183,0.1119761470929269,0.1119761470929269,0.0420423920216863,1.0,0.0604999986535403,0.0989099999969766
ml-1m,bm25,i2i,flatpq,0.0568928766498679,0.1075037270167301,0.1075037270167301,0.0416343264156747,0.8469272817624648,0.0471000003017252,0.1228999990416923
ml-1m,bm25,i2i,hnsw,0.0581871258340183,0.1119761470929269,0.1119761470929269,0.0420423920216863,1.0,0.0502000002597924,0.0650050002150237
ml-1m,bm25,i2i,ivfflat,0.0581871258340183,0.1119761470929269,0.1119761470929269,0.0420423920216863,0.9991717740599636,0.034599999708007,0.0458999985312402
ml-1m,bm25,i2i,ivfpq,0.0584499533104007,0.1147921152890508,0.1147921152890508,0.0416312370014539,0.8777704157694219,0.1004000005195848,0.1391250004417088
ml-1m,bm25,u2i,flat,0.0488959053651454,0.0952459831041908,0.0952459831041908,0.0349172825775443,1.0,0.0604999986535403,0.0989099999969766
ml-1m,bm25,u2i,flatpq,0.0441809377753148,0.0901109822759648,0.0901109822759648,0.0304167948444907,0.6168295511015406,0.0471000003017252,0.1228999990416923
ml-1m,bm25,u2i,hnsw,0.0488959053651454,0.0952459831041908,0.0952459831041908,0.0349172825775443,0.9993042902103692,0.0502000002597924,0.0650050002150237
ml-1m,bm25,u2i,ivfflat,0.0488996943089544,0.0952459831041908,0.0952459831041908,0.034921226510592,0.99976809673679,0.034599999708007,0.0458999985312402
ml-1m,bm25,u2i,ivfpq,0.0459858048502811,0.0911048534040086,0.0911048534040086,0.0323894186905616,0.7171442769587543,0.1004000005195848,0.1391250004417088
ml-20m,bm25,i2i,flat,0.0516883875488067,0.0907,0.0907,0.0399019841269841,1.0,0.3470000001470907,0.6030700003975652
ml-20m,bm25,i2i,flatpq,0.0512716444848711,0.0897,0.0897,0.0396319444444444,0.8347100000000002,0.1692000005277805,0.202200000785524
ml-20m,bm25,i2i,hnsw,0.0516883875488067,0.0907,0.0907,0.0399019841269841,0.99966,0.0736999991204356,0.105515001087042
ml-20m,bm25,i2i,ivfflat,0.051528495453331,0.0903,0.0903,0.0398124603174603,0.98903,0.0530999986949609,0.0880049989063991
ml-20m,bm25,i2i,ivfpq,0.0512046039606302,0.0901,0.0901,0.039408373015873,0.8748800000000003,0.3304000001662643,0.3862050004499905
ml-20m,bm25,u2i,flat,0.0446277133587444,0.0867,0.0867,0.0319603571428571,1.0,0.3470000001470907,0.6030700003975652
ml-20m,bm25,u2i,flatpq,0.0428579686895419,0.084,0.084,0.0305051587301587,0.5763699999999999,0.1692000005277805,0.202200000785524
ml-20m,bm25,u2i,hnsw,0.0446259265130896,0.0867,0.0867,0.0319585714285714,0.9980599999999998,0.0736999991204356,0.105515001087042
ml-20m,bm25,u2i,ivfflat,0.0446154286249144,0.0864,0.0864,0.0320389285714285,0.9561,0.0530999986949609,0.0880049989063991
ml-20m,bm25,u2i,ivfpq,0.0429311755842458,0.085,0.085,0.0303110317460317,0.6382699999999999,0.3304000001662643,0.3862050004499905
