dataset,weighting,modality,method,coverage_at_10,coverage_at_100,gini_exposure_at_10,gini_exposure_at_100,long_tail_exposure_at_10,long_tail_exposure_at_100,long_tail_uplift_at_10,user_popularity_calibration_error_at_10,fairness_scope
ml-1m,bm25,u2i,flat,0.4092838947070478,0.8049816020379281,0.9462136806046644,0.8637863217040936,0.0007454033460327,0.0018660055549295,-0.0047566309310083,0.6240141632300534,not_full_fairness_evaluation
ml-1m,bm25,u2i,flatpq,0.371921879422587,0.8112086045853383,0.958845427252764,0.8730057321554453,0.001159516316051,0.0028031855586241,-0.0043425179609901,0.6430747069715227,not_full_fairness_evaluation
ml-1m,bm25,u2i,hnsw,0.4092838947070478,0.8095103311633173,0.9462235546144562,0.8625873361218337,0.0007454033460327,0.0019569666188886,-0.0047566309310083,0.6240576293368966,not_full_fairness_evaluation
ml-1m,bm25,u2i,ivfflat,0.4087178035663741,0.8038494197565809,0.946320381798796,0.8645178027773758,0.0007454033460327,0.001875808859717,-0.0047566309310083,0.6242313880996817,not_full_fairness_evaluation
ml-1m,bm25,u2i,ivfpq,0.4030568921596377,0.8386640249080102,0.94919563156178,0.8632881351046245,0.0009938711280437,0.002861280103914,-0.0045081631489973,0.5748892392556514,not_full_fairness_evaluation
ml-20m,bm25,i2i,flat,0.3492833420730641,0.6581017304667016,0.8863981812620171,0.7984963987939172,0.00289,0.007671,0.0022946768941484,1.493639262158333,not_full_fairness_evaluation
ml-20m,bm25,i2i,flatpq,0.3499825205383674,0.6803443453941619,0.88761114577871,0.7969129474742178,0.00399,0.010558,0.0033946768941484,1.502251583242159,not_full_fairness_evaluation
ml-20m,bm25,i2i,hnsw,0.3491085474567383,0.6522024121657053,0.8864598959972033,0.8002815804055234,0.00291,0.007564,0.0023146768941484,1.4930886551406308,not_full_fairness_evaluation
ml-20m,bm25,i2i,ivfflat,0.348409368991435,0.6527704946687642,0.8869432555497291,0.8024275419507079,0.00287,0.006935,0.0022746768941484,1.4911784926750875,not_full_fairness_evaluation
ml-20m,bm25,i2i,ivfpq,0.3514245761230554,0.6806065373186506,0.8871067610557595,0.7975162947911204,0.00378,0.01021,0.0031846768941484,1.4751111604459457,not_full_fairness_evaluation
ml-20m,bm25,u2i,flat,0.2067383324593602,0.458442579968537,0.9652551695507778,0.9206696128299248,2e-05,0.000149,-0.0005753231058515,0.6155166496996615,not_full_fairness_evaluation
ml-20m,bm25,u2i,flatpq,0.1681087222513546,0.4527180562838664,0.9779685090019228,0.935245256948086,7e-05,0.00045,-0.0005253231058515,0.5991698821728725,not_full_fairness_evaluation
ml-20m,bm25,u2i,hnsw,0.2067383324593602,0.4631183359552526,0.96524357629785,0.9203115092617472,2e-05,0.0001690028730488,-0.0005753231058515,0.6157407095098277,not_full_fairness_evaluation
ml-20m,bm25,u2i,ivfflat,0.2065198391889529,0.46123929382975,0.9657503548330711,0.9244775172172696,1e-05,0.000143,-0.0005853231058515,0.6100186859944721,not_full_fairness_evaluation
ml-20m,bm25,u2i,ivfpq,0.1861125677329138,0.472207656004195,0.9733805602167452,0.9351982926935852,9e-05,0.000559,-0.0005053231058515,0.5124939767494099,not_full_fairness_evaluation
