dataset,weighting,dim,modality,method,seed,metric,k,decile,group,value,fairness_scope,notes
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,3,__all__,0.15053,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,4,__all__,0.09037,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,5,__all__,0.05953,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,6,__all__,0.06971,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,7,__all__,0.06751,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,8,__all__,0.07286,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,9,__all__,0.33617,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,head,0.33488,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,mid,0.51089,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,tail,0.15423,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,gini_exposure,10,-1,__all__,0.9051258553407504,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,gini_exposure,100,-1,__all__,0.7832941024452283,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,long_tail_exposure,10,-1,__all__,0.23776,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,long_tail_exposure,100,-1,__all__,0.267127,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,long_tail_uplift,10,-1,__all__,0.16964225318538242,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,user_popularity_calibration_error,10,-1,__all__,1.349233591536981,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,u2i,ivfflat,42,coverage,10,-1,__all__,0.1494774200912001,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,coverage,100,-1,__all__,0.5218869401220712,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,0,__all__,0.04021,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,1,__all__,0.11204,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,3,__all__,0.14965,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,4,__all__,0.09015,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,5,__all__,0.05883,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,6,__all__,0.06957,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,7,__all__,0.06774,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,8,__all__,0.07319,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_decile,10,9,__all__,0.33862,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_group,10,-1,head,0.33734,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_group,10,-1,mid,0.50951,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,exposure_share_group,10,-1,tail,0.15315,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,gini_exposure,10,-1,__all__,0.9047573285106337,long_tail_exposure_proxy_only,
