dataset,weighting,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n
ml-1m,bm25,u2i,hnsw,flat,ndcg,0.0,0.0,negligible,2.4499999999996747e-05,negligible,6037
ml-1m,bm25,u2i,hnsw,flat,map,0.0,0.0,negligible,2.4499999999996747e-05,negligible,6037
ml-1m,bm25,u2i,hnsw,flat,mrr,0.0,0.0,negligible,2.4499999999996747e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,recall,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,precision,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,hr,0.0,0.0,negligible,-1.6500000000002624e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,ndcg,8.865243316426297e-06,0.018013890490329816,negligible,2.9500000000001747e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,map,9.4654393146959e-06,0.017955141484328658,negligible,2.9500000000001747e-05,negligible,6037
ml-1m,bm25,u2i,ivfflat,flat,mrr,9.4654393146959e-06,0.017955141484328658,negligible,2.9500000000001747e-05,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,recall,-0.0019877422560874713,-0.011088186482686382,negligible,-0.0019105000000000094,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,precision,-0.000198774225608744,-0.011088186482686386,negligible,-0.0019105000000000094,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,hr,-0.0019877422560874713,-0.011088186482686382,negligible,-0.0019105000000000094,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,ndcg,-0.00013345895641297262,-0.001485042992935064,negligible,-0.0016975000000000046,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,map,0.00039314439264745427,0.0045844496183579525,negligible,-0.0016975000000000046,negligible,6037
ml-1m,bm25,u2i,ivfpq,flat,mrr,0.00039314439264745427,0.0045844496183579525,negligible,-0.0016975000000000046,negligible,6037
ml-20m,bm25,i2i,flatpq,flat,recall,-0.0021000000000000046,-0.01606036947171365,negligible,-0.0019689999999999985,negligible,10000
ml-20m,bm25,i2i,flatpq,flat,precision,-0.00021000000000000185,-0.016060369471713645,negligible,-0.0019689999999999985,negligible,10000
ml-20m,bm25,i2i,flatpq,flat,hr,-0.0021000000000000046,-0.01606036947171365,negligible,-0.0019689999999999985,negligible,10000
ml-20m,bm25,i2i,flatpq,flat,ndcg,-0.0011788776008422736,-0.0201906789878456,negligible,-0.0019440000000000013,negligible,10000
ml-20m,bm25,i2i,flatpq,flat,map,-0.0009232142857142842,-0.016677613521074032,negligible,-0.0019440000000000013,negligible,10000
ml-20m,bm25,i2i,flatpq,flat,mrr,-0.0009232142857142842,-0.016677613521074032,negligible,-0.0019440000000000013,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,recall,0.00010000000000000286,0.009999999999999997,negligible,0.0001290000000000041,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,precision,9.999999999999593e-06,0.010000000000000005,negligible,0.0001290000000000041,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,hr,0.00010000000000000286,0.009999999999999997,negligible,0.0001290000000000041,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,ndcg,2.8906482631797792e-05,0.009999999999999998,negligible,0.00013499999999999623,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,map,1.0000000000003062e-05,0.010000000000000005,negligible,0.00013499999999999623,negligible,10000
ml-20m,bm25,i2i,hnsw,flat,mrr,1.0000000000003062e-05,0.010000000000000005,negligible,0.00013499999999999623,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,recall,-0.00010000000000000286,-0.0044719570624056045,negligible,-6.2500000000007e-05,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,precision,-1.0000000000003062e-05,-0.0044719570624056045,negligible,-6.2500000000007e-05,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,hr,-0.00010000000000000286,-0.0044719570624056045,negligible,-6.2500000000007e-05,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,ndcg,2.0286481919436217e-05,0.0030393555676090146,negligible,-1.2000000000012001e-05,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,map,4.317460317460747e-05,0.01447684154036467,negligible,-1.2000000000012001e-05,negligible,10000
ml-20m,bm25,i2i,ivfflat,flat,mrr,4.317460317460747e-05,0.01447684154036467,negligible,-1.2000000000012001e-05,negligible,10000
ml-20m,bm25,i2i,ivfpq,flat,recall,-0.0003000000000000086,-0.0026412298616476783,negligible,-0.0003140000000000087,negligible,10000
ml-20m,bm25,i2i,ivfpq,flat,precision,-3.0000000000000512e-05,-0.0026412298616476774,negligible,-0.0003140000000000087,negligible,10000
ml-20m,bm25,i2i,ivfpq,flat,hr,-0.0003000000000000086,-0.0026412298616476783,negligible,-0.0003140000000000087,negligible,10000
ml-20m,bm25,i2i,ivfpq,flat,ndcg,-0.000655024557160537,-0.014001646924677069,negligible,-0.0003120000000000067,negligible,10000
