dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
goodbooks,bm25,128,i2i,ivfpq,flat,hr,-0.0020000000000000018,-0.023575597185586453,negligible,-0.0022920000000000162,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfpq,flat,map,-0.0035624206349206405,-0.04644852496243702,negligible,-0.00288250000000001,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfpq,flat,mrr,-0.0035624206349206405,-0.04644852496243702,negligible,-0.00288250000000001,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfpq,flat,ndcg,-0.0032243502991221307,-0.050213229043087206,negligible,-0.00288250000000001,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfpq,flat,precision,-0.0001999999999999988,-0.023575597185586453,negligible,-0.0022920000000000162,negligible,10000,42,42
goodbooks,bm25,128,i2i,ivfpq,flat,recall,-0.0020000000000000018,-0.023575597185586453,negligible,-0.0022920000000000162,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,hr,-0.004,-0.028581668333144628,negligible,-0.0038305000000000006,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,map,-0.0008501190476190492,-0.016173203986083882,negligible,-0.0038144999999999984,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,mrr,-0.0008501190476190492,-0.016173203986083882,negligible,-0.0038144999999999984,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,ndcg,-0.0015660362392188928,-0.024532266761012205,negligible,-0.0038144999999999984,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,precision,-0.00039999999999999975,-0.02858166833314462,negligible,-0.0038305000000000006,negligible,10000,42,42
goodbooks,bm25,128,u2i,flatpq,flat,recall,-0.004,-0.028581668333144628,negligible,-0.0038305000000000006,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,hr,-9.99999999999994e-05,-0.005773310232183489,negligible,1.2000000000001593e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,map,-5.250000000000046e-05,-0.00990870239844963,negligible,-1.4000000000000123e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,mrr,-5.250000000000046e-05,-0.00990870239844963,negligible,-1.4000000000000123e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,ndcg,-6.573298040392708e-05,-0.008535474434343514,negligible,-1.4000000000000123e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,precision,-9.999999999999593e-06,-0.00577331023218349,negligible,1.2000000000001593e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,hnsw,flat,recall,-9.99999999999994e-05,-0.005773310232183489,negligible,1.2000000000001593e-05,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,hr,0.0,0.0,negligible,0.00012599999999999764,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,map,5.833333333333385e-06,0.0009405421393819795,negligible,0.00010649999999999896,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,mrr,5.833333333333385e-06,0.0009405421393819795,negligible,0.00010649999999999896,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,ndcg,3.192634188292978e-06,0.0003107249546560727,negligible,0.00010649999999999896,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,precision,4.336808689942018e-19,0.0,negligible,0.00012599999999999764,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfflat,flat,recall,0.0,0.0,negligible,0.00012599999999999764,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,hr,-0.0030999999999999986,-0.02413929124354144,negligible,-0.003047000000000001,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,map,-0.0009077380952380951,-0.02012514724928067,negligible,-0.003071499999999998,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,mrr,-0.0009077380952380951,-0.02012514724928067,negligible,-0.003071499999999998,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,ndcg,-0.001415845973765326,-0.025489673992245148,negligible,-0.003071499999999998,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,precision,-0.0003099999999999995,-0.024139291243541448,negligible,-0.003047000000000001,negligible,10000,42,42
goodbooks,bm25,128,u2i,ivfpq,flat,recall,-0.0030999999999999986,-0.02413929124354144,negligible,-0.003047000000000001,negligible,10000,42,42
ml-1m,bm25,128,i2i,flatpq,flat,hr,-0.002651640702684796,-0.017929334865673156,negligible,-0.0033794999999999936,negligible,6034,42,42
