dataset,weighting,modality,method,metric,k,decile,group,value,fairness_scope,notes
goodbooks,bm25,u2i,flat,gini_exposure,10,,,0.831127806,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,gini_exposure,100,,,0.6623502888,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,coverage,10,,,0.6767,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,coverage,100,,,0.9803,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,0.0,,0.02243,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,1.0,,0.03244,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,2.0,,0.0387,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,3.0,,0.04317,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,4.0,,0.04624,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,5.0,,0.04766,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,6.0,,0.05561,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,7.0,,0.06906,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,8.0,,0.10155,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_decile,10,9.0,,0.54314,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_group,10,,head,0.54314,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_group,10,,mid,0.40132000000000007,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,exposure_share_group,10,,tail,0.05554,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flat,user_popularity_calibration_error,10,,,0.8220411730529593,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,u2i,flatpq,long_tail_exposure,10,,,0.07085,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,long_tail_exposure,100,,,0.119845,long_tail_exposure_proxy_only,
